Executive,Company,Group_Layer,Culture,Career,Communication,Growth,Manager,Respect,Team,Satisfaction
Achim Plass,Pantheon,`03-04,4,3,4,3,3,4,4,3
Achim Plass,Pantheon,`03-04,2,3,2,4,3,3,4,3
Achim Plass,Pantheon,`03-04,3,5,5,5,5,5,5,5
Andreas Hargrove,Plexus,`03-04,4,3,5,4,5,5,3,2
Andreas Hargrove,Plexus,`03-04,4,4,4,4,2,4,4,4
Andreas Hargrove,Plexus,`03-04,3,4,3,3,5,5,4,3
Andreas Ponnusamy,Pantheon,`03-04,3,4,2,4,5,5,5,4
Andreas Ponnusamy,Pantheon,`03-04,4,4,2,4,1,4,4,4
Andreas Ponnusamy,Pantheon,`03-04,4,5,5,4,5,4,5,5
Andrew Frankenbach,BrightStar,`03-04,5,5,3,5,4,5,5,5
Andrew Frankenbach,BrightStar,`03-04,2,1,2,3,5,3,5,4
Andrew Frankenbach,BrightStar,`03-04,4,4,4,4,4,4,4,4
Aron Rowland,BrightStar,`03-04,4,4,3,4,5,4,4,4
Aron Rowland,BrightStar,`03-04,5,5,4,4,5,4,4,4
Aron Rowland,BrightStar,`03-04,5,4,4,4,5,5,4,5
Belinda Mitchell,BrightStar,`05-06,3,3,2,2,4,2,2,2
Belinda Mitchell,BrightStar,`05-06,1,2,3,2,1,1,1,1
Belinda Mitchell,BrightStar,`05-06,5,4,3,4,4,4,3,4
Belinda Roosen,Sparta,`03-04,4,4,4,5,4,4,3,4
Belinda Roosen,Sparta,`03-04,5,4,5,5,5,4,5,5
Belinda Roosen,Sparta,`03-04,2,5,2,5,5,4,5,2
Brian Dixon,BrightStar,`03-04,3,3,4,3,3,4,4,4
Brian Dixon,BrightStar,`03-04,4,2,3,3,3,4,4,4
Brian Dixon,BrightStar,`03-04,5,5,5,5,5,5,5,5
Brian Giebler,Plexus,`05-06,3,3,3,3,5,4,4,3
Brian Giebler,Plexus,`05-06,4,5,5,5,5,4,4,5
Brian Giebler,Plexus,`05-06,5,3,5,5,5,5,4,5
Charles Haskins,Cyberspace,`03-04,5,5,5,5,5,5,5,5
Charles Haskins,Cyberspace,`03-04,4,5,5,5,5,4,4,3
Charles Haskins,Cyberspace,`03-04,5,5,5,5,5,5,4,4
Chetan Long Jr,Plexus,`03-04,4,4,4,4,4,4,4,4
Chetan Long Jr,Plexus,`03-04,2,5,3,5,3,4,4,3
Chetan Long Jr,Plexus,`03-04,4,5,5,5,5,5,3,4
Christopher Fisher,Pantheon,`05-06,5,5,5,5,5,5,5,5
Christopher Fisher,Pantheon,`05-06,4,5,5,5,5,5,5,4
Christopher Fisher,Pantheon,`05-06,4,5,5,4,5,5,4,4
Cindy Lewis,Plexus,`05-06,4,3,4,4,4,4,4,3
Cindy Lewis,Plexus,`05-06,4,3,5,4,3,2,3,2
Cindy Lewis,Plexus,`05-06,5,5,4,5,5,4,5,4
Daniel Boyalla,Cyberspace,`03-04,4,4,5,4,5,5,4,5
Daniel Boyalla,Cyberspace,`03-04,4,5,4,5,5,5,5,5
Daniel Boyalla,Cyberspace,`03-04,4,4,4,4,5,4,4,5
David Bretthauer,BrightStar,`03-04,4,2,4,3,3,4,4,3
David Bretthauer,BrightStar,`03-04,4,3,2,3,5,4,5,4
David Bretthauer,BrightStar,`03-04,3,1,3,3,3,3,2,2
David McDowell,BrightStar,`03-04,5,4,4,5,5,4,5,4
David McDowell,BrightStar,`03-04,5,5,5,4,5,5,5,5
David McDowell,BrightStar,`03-04,5,3,4,4,4,4,4,3
David Reust,Fluent,`03-04,5,5,5,5,5,5,5,5
David Reust,Fluent,`03-04,5,3,4,4,5,5,5,5
David Reust,Fluent,`03-04,3,3,3,3,3,4,3,3
David Schiesser,Plexus,`05-06,5,5,5,5,5,5,5,5
David Schiesser,Plexus,`05-06,5,5,5,5,5,5,5,5
David Schiesser,Plexus,`05-06,5,4,4,4,5,5,5,5
Donnie Lacasse,Sparta,`03-04,4,5,3,5,4,4,3,3
Donnie Lacasse,Sparta,`03-04,5,4,3,4,4,4,5,5
Donnie Lacasse,Sparta,`03-04,5,3,5,3,5,5,5,4
Eric Rudy,Cyberspace,`03-04,3,3,4,4,-1,4,5,4
Eric Rudy,Cyberspace,`03-04,4,5,3,5,4,4,4,4
Eric Rudy,Cyberspace,`03-04,4,3,4,3,4,4,4,3
Frank Jones,Sparta,`03-04,4,5,4,5,4,4,4,4
Frank Jones,Sparta,`03-04,4,4,2,4,4,3,3,3
Frank Jones,Sparta,`03-04,3,3,3,3,4,4,3,3
Gregory Yadav,Fluent,`03-04,5,5,5,5,5,5,5,5
Gregory Yadav,Fluent,`03-04,4,4,4,4,4,4,4,4
Gregory Yadav,Fluent,`03-04,3,3,3,3,4,3,4,4
Hormuzd Smith,Pantheon,`03-04,5,4,3,4,2,3,5,4
Hormuzd Smith,Pantheon,`03-04,4,3,5,3,3,4,5,3
Hormuzd Smith,Pantheon,`03-04,5,4,5,4,4,5,4,4
Jean-Francois Thomas,Pantheon,`03-04,4,4,4,5,5,5,5,4
Jean-Francois Thomas,Pantheon,`03-04,4,3,3,3,3,4,4,4
Jean-Francois Thomas,Pantheon,`03-04,4,1,4,2,4,4,4,2
Jeffrey Sifakis,BrightStar,`05-06,4,4,3,4,4,5,4,3
Jeffrey Sifakis,BrightStar,`05-06,3,3,2,4,3,3,2,3
Jeffrey Sifakis,BrightStar,`05-06,5,5,5,5,5,5,5,5
Jennifer Kirkpatrick,Sparta,`05-06,5,4,3,4,4,5,5,5
Jennifer Kirkpatrick,Sparta,`05-06,4,5,4,5,4,5,5,5
Jennifer Kirkpatrick,Sparta,`05-06,5,5,5,5,3,5,4,3
Jerome Hale,Pantheon,`03-04,4,4,4,4,4,4,4,3
Jerome Hale,Pantheon,`03-04,5,3,4,4,4,5,4,4
Jerome Hale,Pantheon,`03-04,4,5,3,5,4,4,4,4
Jesse Jones,Cyberspace,`03-04,4,1,4,3,3,4,3,3
Jesse Jones,Cyberspace,`03-04,1,2,4,3,2,1,1,3
Jesse Jones,Cyberspace,`03-04,2,3,2,3,4,3,3,3
Johan Farrell,Pantheon,`03-04,4,4,5,5,5,5,5,5
Johan Farrell,Pantheon,`03-04,4,4,5,5,5,5,5,4
Johan Farrell,Pantheon,`03-04,5,4,4,4,5,5,5,4
John Burgess,Pantheon,`03-04,5,4,4,4,4,5,4,4
John Burgess,Pantheon,`03-04,4,3,4,3,5,4,4,4
John Burgess,Pantheon,`03-04,4,4,4,4,4,4,4,5
Karla Anchan,Sparta,`03-04,4,3,4,3,5,4,5,3
Karla Anchan,Sparta,`03-04,5,4,4,5,5,4,5,4
Karla Anchan,Sparta,`03-04,4,5,4,5,5,5,4,4
Kelly Suits,Cyberspace,`03-04,5,4,4,4,4,4,4,5
Kelly Suits,Cyberspace,`03-04,4,4,4,4,4,4,4,4
Kelly Suits,Cyberspace,`03-04,3,4,4,4,4,4,4,4
